,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,song,artist,WeekID
00p615Q4EFYMIAr055wqRu,0.555,0.86,2.0,-5.965,0.0,0.038,0.0386,0.0,0.325,0.468,108.594,audio_features,361307.0,4.0,All About Soul,Billy Joel,1994-02-19
00qOE7OjRl0BpYiCiweZB2,0.357,0.653,9.0,-5.554,1.0,0.0654,0.0828,0.0,0.0844,0.522,176.647,audio_features,259800.0,4.0,Juke Box Hero,Foreigner,1982-02-20
00rGtsA6s1ymgW70p1LzlM,0.539,0.93,11.0,-6.035,1.0,0.0624,0.0138,0.0,0.0673,0.584,127.454,audio_features,218440.0,4.0,What I Didn't Know,Athenaeum,1998-08-08
00rd6vxwcg4so4ZuxcEHN9,0.848,0.577,10.0,-10.07,0.0,0.103,0.08,0.0,0.369,0.674,96.045,audio_features,251707.0,4.0,Head Over Heels,Allure ,1997-03-22
00vH2PsEQTGRyJYhyIyDbr,0.483,0.46,5.0,-10.055,1.0,0.0282,0.658,0.924,0.147,0.564,94.185,audio_features,116733.0,4.0,The Stripper,David Rose and His Orchestra,1962-05-19
00vYs0qZA40Z8AAaN7xmMO,0.685,0.594,2.0,-10.906,1.0,0.0289,0.294,3.69e-06,0.358,0.853,121.761,audio_features,184160.0,4.0,Manic Monday,The Bangles,1986-02-01
00zqTWtvCWvDtAqoLRl6Sy,0.682,0.646,11.0,-5.509,1.0,0.0839,0.376,0.0,0.0705,0.253,128.279,audio_features,236213.0,4.0,When It Hurts,Avant,2009-01-03
013AWvizllIUEC2FOBzOnh,0.555,0.698,0.0,-8.874,1.0,0.0287,0.403,0.0,0.0851,0.816,168.12,audio_features,277267.0,4.0,Truly Madly Deeply,Savage Garden,1997-12-13
014NOunS25K1LbcM6DlQ5I,0.542,0.929,0.0,-7.066,1.0,0.0784,0.526,0.00597,0.125,0.793,140.8,audio_features,138227.0,4.0,Till The End Of The Day,The Kinks,1966-04-02
0158TMiGmHyibaDeaUKayX,0.635,0.758,7.0,-5.772,1.0,0.0243,0.00643,0.0,0.229,0.322,113.002,audio_features,209253.0,4.0,She Won't Be Lonely Long,Clay Walker,2010-07-31
015A6ZcNAWSSuwY7iDcD1b,0.682,0.579,2.0,-6.526,0.0,0.101,0.467,2.21e-06,0.0952,0.712,76.915,audio_features,278760.0,4.0,When A Woman's Fed Up,R. Kelly,1999-01-02
015qd1I4v00JIoK7yOUgKC,0.706,0.44,4.0,-11.577,1.0,0.0493,0.763,0.0,0.0958,0.395,90.012,audio_features,292933.0,4.0,Rush Rush,Paula Abdul,1991-06-08
0171XsIM2xyeXRr6wsugEI,0.717,0.55,10.0,-6.019,0.0,0.0521,0.0358,0.00196,0.126,0.332,96.976,audio_features,171333.0,4.0,Boyfriend,Justin Bieber,2012-06-02
019LymYgh7wHQaInMdZd0Z,0.5,0.313,10.0,-14.124,0.0,0.03,0.558,0.0,0.356,0.179,140.484,audio_features,232573.0,4.0,Feelings Of Forever,Tiffany,1988-06-18
01Aj44KIjCrPmZeXq4UOky,0.412,0.577,7.0,-4.944,1.0,0.119,0.163,0.0,0.0969,0.345,173.675,audio_features,236400.0,4.0,Emotion,Destiny's Child,2001-10-06
01CnYyPXMFRzOFVQBU8WMb,0.613,0.801,8.0,-4.431,1.0,0.0354,0.0626,1.15e-05,0.124,0.609,126.966,audio_features,243160.0,4.0,This One's For The Girls,Martina McBride,2003-08-16
01Da7Gqp2RFtQqD3KY5fiE,0.556,0.578,8.0,-13.852,1.0,0.132,0.722,0.0,0.625,0.813,85.279,audio_features,184467.0,4.0,Up In Heah,Ike & Tina Turner,1972-03-04
01F8B0dhzGdWvmcSO6vUdi,0.805,0.638,1.0,-5.864,1.0,0.0803,0.141,0.0,0.322,0.644,94.52,audio_features,315507.0,4.0,Just The Two Of Us,Will Smith,1998-10-17
01GarP7Iim3fsxASclkEFW,0.532,0.78,3.0,-11.255,1.0,0.171,0.869,5.23e-05,0.47,0.861,75.944,audio_features,149560.0,4.0,School Is Out,Gary U.S. Bonds,1961-09-09
01IpNtCBRCrPj91rgARPl3,0.74,0.386,7.0,-13.701,0.0,0.0383,0.186,0.0,0.152,0.886,120.247,audio_features,116560.0,4.0,What Kind Of Fool (Do You Think I Am),The Tams,1963-12-21
01JTNZGPo8RYD8nZA567qV,0.621,0.577,2.0,-11.559,1.0,0.0421,0.0194,0.178,0.254,0.702,127.182,audio_features,182027.0,4.0,I've Had Enough,Wings,1978-06-24
01MBhRpvFkbeRwAp7gcF2W,0.622,0.948,9.0,-6.169,1.0,0.0978,0.00182,0.151,0.0827,0.665,95.785,audio_features,202360.0,4.0,E-Pro,Beck,2005-04-02
01MXkFA8sL7at6txavDErt,0.388,0.72,7.0,-5.541,1.0,0.033,0.202,0.000288,0.283,0.554,141.283,audio_features,341747.0,4.0,Making Love Out Of Nothing At All,Air Supply,1983-08-06
01PZn2ZIyyFWEbp2NlyXyq,0.718,0.588,0.0,-11.36,1.0,0.0532,0.0507,0.0,0.589,0.65,109.103,audio_features,160732.0,4.0,Dreams Are Ten A Penny,The First Class,1974-11-30
01PjrDX13iIjeHc5iJZmb3,0.664,0.36,4.0,-13.451,1.0,0.0277,0.126,7.59e-06,0.301,0.213,109.194,audio_features,308200.0,4.0,Empty Garden (Hey Hey Johnny),Elton John,1982-03-27
01PnRJeFSeOgIpBuv1kQKd,0.71,0.665,2.0,-7.632,1.0,0.0277,0.053,0.0207,0.177,0.796,127.472,audio_features,164293.0,4.0,Commotion,Creedence Clearwater Revival,1969-09-20
01Q1QVzXToNlHRrytdtpR3,0.663,0.647,4.0,-12.237,0.0,0.0277,0.217,0.039,0.106,0.601,97.694,audio_features,297867.0,4.0,If I Had A Rocket Launcher,Bruce Cockburn,1985-02-16
01Q4wU19hamqnhNjtuvTyI,0.382,0.458,9.0,-13.559,0.0,0.0286,0.0652,0.00167,0.259,0.157,67.233,audio_features,287400.0,4.0,Nobody's Fool,Cinderella,1986-11-15
01TuObJVd7owWchVRuQbQw,0.797,0.608,6.0,-6.096,0.0,0.0583,0.00112,7.66e-05,0.0748,0.403,128.0,audio_features,279507.0,4.0,#thatPOWER,will.i.am ,2013-07-20
01UkIu8bp3GNclU8DsFKgv,0.472,0.475,4.0,-11.115,1.0,0.0311,0.138,3.04e-06,0.113,0.718,150.611,audio_features,194587.0,4.0,Promises Broken,Soul Asylum,1996-03-02
01VFDkHBNJcCNUjzD3flWg,0.534,0.561,5.0,-11.089,0.0,0.0409,0.0442,0.678,0.189,0.219,84.978,audio_features,250560.0,4.0,The Power Of Good-Bye,Madonna,1998-10-24
01XELYz10eYmxEJO5SdPLk,0.717,0.498,2.0,-9.672,1.0,0.0495,0.361,0.0,0.0798,0.891,99.822,audio_features,191987.0,4.0,Take It Slow (Out In The Country),Lighthouse,1971-12-25
01XFgRZfZI7oBagNf1Loml,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,audio_features,196664.0,4.0,Harlem Shake,Baauer,2013-03-09
01ZrnvWYuNikA7xxYKaQM2,0.66,0.733,10.0,-13.691,1.0,0.0603,0.0336,0.0,0.0557,0.846,99.358,audio_features,196766.0,4.0,Heed The Call,Kenny Rogers & The First Edition,1970-10-24
01cQPNCptd662nikuY42zw,0.621,0.413,4.0,-12.274,1.0,0.0348,0.602,4.88e-06,0.145,0.338,139.491,audio_features,310747.0,4.0,Have You Seen Her,The Chi-lites,1971-10-30
01cZbN980X7YkWdzSRlBGD,0.426,0.404,0.0,-17.804,1.0,0.0339,0.106,0.000143,0.0351,0.654,198.205,audio_features,208240.0,4.0,I'm A Drifter,Bobby Goldsboro,1969-04-26
01e8dGbulrphX8j3fZDQYk,0.615,0.723,0.0,-6.506,1.0,0.0448,0.0917,0.000423,0.101,0.219,117.958,audio_features,279533.0,4.0,I Hold On,Dierks Bentley,2014-01-11
01mVU4cxactKHHZ89qof48,0.771,0.392,1.0,-15.388,1.0,0.0492,0.769,7.5e-06,0.187,0.946,127.256,audio_features,173773.0,4.0,Cab Driver,The Mills Brothers,1968-03-16
01pOtDU5YHWbxuNBzlRUem,0.487,0.961,4.0,-4.139,1.0,0.132,0.0415,1.15e-06,0.553,0.323,170.005,audio_features,231680.0,4.0,Waiting For The End,Linkin Park,2010-11-13
01qWCNkkknoQktSrxjIHF8,0.694,0.445,6.0,-13.967,1.0,0.0321,0.331,0.0,0.0425,0.96,112.594,audio_features,156893.0,4.0,I Can't Leave Your Love Alone,Clarence Carter,1970-04-18
01rYWOpu72uFQORnWN84C3,0.631,0.536,6.0,-7.194,1.0,0.0586,0.591,0.0,0.108,0.829,59.999,audio_features,249920.0,4.0,You Remind Me Of Something,R. Kelly,1995-11-25
01sno3m5rqaFy2YVE1A7LZ,0.488,0.905,9.0,-3.789,1.0,0.0485,0.00351,0.373,0.0685,0.805,128.472,audio_features,204680.0,4.0,Guns For Hire,AC/DC,1983-10-08
01tKbq9PNJVgmmUvb7skOP,0.327,0.361,6.0,-9.431,1.0,0.0319,0.864,0.117,0.13,0.168,84.525,audio_features,267067.0,4.0,I Live For Your Love,Natalie Cole,1987-11-14
01uqI4H13Gsd8Lyl1EYd8H,0.688,0.473,8.0,-9.059,1.0,0.167,0.716,4.46e-05,0.104,0.299,84.958,audio_features,318525.0,4.0,Same Love,Macklemore & Ryan Lewis ,2013-06-15
01vU3aIv30DTDyboxD8s1i,0.231,0.281,9.0,-14.295,1.0,0.0307,0.888,0.000925,0.0717,0.346,100.963,audio_features,163693.0,3.0,Silly Boy (She Doesn't Love You),The Lettermen,1962-08-25
01wZPk1D0Ar9AnUtAY01yl,0.561,0.928,9.0,-5.216,1.0,0.166,0.113,0.0,0.173,0.882,154.914,audio_features,169533.0,4.0,"Someday, Someway",Marshall Crenshaw,1982-08-28
01xMiErR26kH1KCif6uEYI,0.643,0.73,7.0,-6.859,1.0,0.0347,0.0917,0.0,0.253,0.96,96.711,audio_features,105987.0,4.0,I'll Cry Instead,The Beatles,1964-08-08
020b0QxseQbcMTPKV49qRm,0.402,0.7,4.0,-4.613,1.0,0.0348,0.147,0.0,0.0992,0.496,198.972,audio_features,221387.0,4.0,Crying On A Suitcase,Casey James,2013-02-23
020ffiIfWvx5EH9VJ8Dkg2,0.564,0.531,3.0,-5.809,1.0,0.0287,0.376,0.0,0.312,0.407,146.018,audio_features,226227.0,4.0,No Hurry,Zac Brown Band,2012-03-31
021O8Fvrww2EJB8220tgXo,0.23,0.273,5.0,-13.277,1.0,0.0352,0.871,2.21e-06,0.059,0.0868,74.919,audio_features,218840.0,4.0,(Theme From) Valley Of The Dolls,Dionne Warwick,1968-02-17
022cwKemVAI8fMKym7qrps,0.739,0.696,11.0,-10.926,0.0,0.0389,0.000941,0.758,0.157,0.963,124.095,audio_features,193013.0,4.0,Makes You Blind,The Glitter Band,1976-11-13
022rVz5n3Ga5CelWqme1Sb,0.589,0.369,9.0,-11.477,1.0,0.0242,0.123,2.21e-06,0.114,0.295,98.997,audio_features,225440.0,4.0,Someone You Used To Know,Collin Raye,1998-11-28
023ANytNFEk7vglingnI4p,0.748,0.791,11.0,-6.845,0.0,0.033,0.0626,1.29e-06,0.205,0.983,116.899,audio_features,174040.0,4.0,Out Of Work,Gary U.S. Bonds,1982-09-25
023OVLNzXhX0j7CxswUt6D,0.78,0.68,4.0,-6.081,1.0,0.0305,0.141,1.2e-05,0.138,0.594,118.026,audio_features,180560.0,4.0,Cheerleader,OMI,2015-06-27
024BfR0Euyhn2ZfLyPwFtx,0.33,0.25,5.0,-12.369,1.0,0.0314,0.545,0.0,0.133,0.382,149.89,audio_features,198707.0,3.0,"Baby, I'm For Real",The Originals,1969-11-15
027nSHMERwEAtnlHZsJqWQ,0.446,0.94,0.0,-3.145,1.0,0.157,0.504,0.00754,0.0684,0.895,169.724,audio_features,187947.0,4.0,Treat Her Right,Roy Head And The Traits,1965-09-11
027tq4cWr0kRxLTfdxvM1L,0.583,0.488,6.0,-10.494,1.0,0.0444,0.821,1.74e-05,0.115,0.191,98.497,audio_features,292400.0,4.0,4 Seasons Of Loneliness,Boyz II Men,1997-10-25
02BsTeJE4q5gWOTt58ur5U,0.707,0.346,11.0,-12.397,0.0,0.0251,0.69,0.145,0.1,0.49,85.094,audio_features,295050.0,4.0,I Can't Tell You Why,Eagles,1980-03-01
02Cr2z2dPQ0RKCmgZTQgRq,0.396,0.55,9.0,-7.346,1.0,0.208,0.106,0.0,0.0817,0.611,203.274,audio_features,134533.0,4.0,Bristol Twistin' Annie,The Dovells,1962-07-07
02D9uD9WQb834Lb54xCvDS,0.695,0.638,2.0,-7.891,0.0,0.0458,0.343,0.0,0.635,0.701,118.106,audio_features,290067.0,4.0,Love U 4 Life,Jodeci,1995-11-11
02DoAJpOC8XrHFrYobz48F,0.603,0.689,2.0,-12.078,1.0,0.0381,0.778,2.42e-05,0.135,0.955,153.098,audio_features,107333.0,4.0,Language Of Love,John D. Loudermilk,1961-11-11
02GwPAncasVL82yC7y2hmN,0.735,0.844,1.0,-5.215,1.0,0.167,0.142,0.0,0.319,0.742,156.069,audio_features,286427.0,4.0,Raise Up,Petey Pablo,2001-10-20
02KLiEs31kxh1krQJezlTL,0.632,0.598,11.0,-15.0,0.0,0.0375,0.0453,0.0334,0.085,0.86,113.561,audio_features,317933.0,4.0,I've Been Thinking About You,Londonbeat,1991-02-16
02QQXgeAghpU4smdM7l7We,0.707,0.724,11.0,-3.887,0.0,0.051,0.0448,0.0,0.072,0.659,108.984,audio_features,250107.0,4.0,Spotlight,Jennifer Hudson,2008-10-18
02Qh7RYh2G93FQCLXODZ0a,0.721,0.411,10.0,-15.319,0.0,0.0455,0.373,2.98e-05,0.175,0.688,134.393,audio_features,136932.0,4.0,Engine Engine #9,Roger Miller,1965-05-15
02UnamzTn2rySwzcMkq5qx,0.556,0.712,9.0,-4.398,1.0,0.0346,0.207,1.99e-05,0.318,0.164,140.031,audio_features,234253.0,4.0,I Melt,Rascal Flatts,2003-08-30
02WDuAXXKumemrvsmrVBvH,0.584,0.768,0.0,-4.185,1.0,0.058,0.329,0.0,0.0587,0.729,152.005,audio_features,212867.0,4.0,Wavin' Flag,K'Naan,2010-07-03
02XiFAeegVtBhV3nCzteM5,0.587,0.493,2.0,-6.248,1.0,0.0228,0.442,0.0,0.1,0.333,90.356,audio_features,217760.0,4.0,Now That I Found You,Terri Clark,1998-05-30
02ZYIF6aoXo6Zz7EUBpoIc,0.671,0.46,5.0,-13.482,1.0,0.0346,0.267,0.366,0.0379,0.812,142.696,audio_features,176693.0,4.0,Sophisticated Cissy,The Meters,1969-03-29
02acUMylPHMjJ9miDc9b38,0.435,0.729,1.0,-4.818,0.0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,audio_features,256600.0,4.0,Ever The Same,Rob Thomas,2006-01-28
02eD9ymfJOJOhM97HYp5R9,0.515,0.3,5.0,-8.005,1.0,0.0289,0.575,8.46e-06,0.115,0.206,81.12,audio_features,236627.0,4.0,The House That Built Me,Miranda Lambert,2010-06-19
02jZSvPG0SNsBwj6g9yRCo,0.346,0.876,4.0,-6.029,1.0,0.0746,0.00463,0.000177,0.264,0.663,123.932,audio_features,202507.0,4.0,Couldn't I Just Tell You,Todd Rundgren,1972-08-05
02lTDOxHeXTHsdwXoz6lpC,0.269,0.895,9.0,-6.382,1.0,0.118,0.083,0.00266,0.153,0.16,168.479,audio_features,299507.0,4.0,In The Meantime,Spacehog,1996-04-13
02nH7HXbs3i9kdWef9or8E,0.598,0.661,1.0,-9.269,0.0,0.428,0.00996,0.0,0.603,0.549,177.89,audio_features,272467.0,4.0,"Jeeps, Lex Coups, Bimaz & Benz",Lost Boyz,1995-09-16
02tiurLpJcKS0aFVsyvKz3,0.32,0.448,9.0,-8.786,1.0,0.0275,0.309,0.35,0.263,0.261,64.426,audio_features,160320.0,4.0,Porpoise Song,The Monkees,1968-10-26
0301nLjG0ti26rx5ZmfqtP,0.795,0.6,2.0,-14.004,1.0,0.341,0.112,0.000171,0.111,0.633,101.78,audio_features,250133.0,4.0,Scenario,A Tribe Called Quest,1992-08-15
030OCtLMrljNhp8OWHBWW3,0.59,0.698,11.0,-4.262,1.0,0.0286,0.000176,0.0,0.107,0.352,95.975,audio_features,224093.0,4.0,Hey Daddy (Daddy's Home),Usher ,2010-02-20
033Dkg4KNA6KmCLYqTqG4Q,0.461,0.721,11.0,-8.394,1.0,0.0717,0.191,2.48e-06,0.0818,0.848,121.692,audio_features,328520.0,4.0,I Had It All The Time,Tyrone Davis,1972-04-01
035Ag6mdG1EWFZvgdnK8lK,0.882,0.562,0.0,-7.67,1.0,0.0368,0.0475,0.374,0.0338,0.926,129.99,audio_features,189583.0,4.0,Makin' It,David Naughton,1979-04-07
035Wi3SCHzijMtWdhVv5K8,0.504,0.443,4.0,-11.11,1.0,0.0265,0.174,2.41e-05,0.26,0.244,102.563,audio_features,353040.0,4.0,Nowhere To Go,Melissa Etheridge,1996-10-19
035fw4auzPyaTOkemNVBHe,0.547,0.576,0.0,-11.511,1.0,0.0408,0.522,0.00647,0.119,0.846,145.207,audio_features,188800.0,4.0,Blues Power,Eric Clapton And His Band,1980-11-22
036GQb6SETOJJG8BxJTNxc,0.71,0.925,0.0,-3.329,1.0,0.0359,0.039,0.0,0.127,0.93,118.024,audio_features,222987.0,4.0,Chloe (You're The One I Want),Emblem3,2013-08-17
036VfOqzE69Sn7LEcqhMPo,0.615,0.754,10.0,-8.923,0.0,0.0586,0.0954,0.00191,0.0957,0.703,103.822,audio_features,232440.0,4.0,You've Got My Soul On Fire,The Temptations,1974-06-29
03700DXvpDN5MXqaLeU0J0,0.558,0.915,2.0,-8.501,1.0,0.0444,0.116,8.5e-06,0.313,0.758,184.78,audio_features,249107.0,4.0,Restless Heart,Peter Cetera,1992-09-19
038jgLNIvp7QQNf5vILf5d,0.759,0.723,6.0,-5.38,0.0,0.0259,0.0487,5.88e-06,0.362,0.666,116.043,audio_features,173760.0,4.0,Kiss This,Aaron Tippin,2000-09-02
03AhYPRQeOqG2j54Tdg94E,0.662,0.83,4.0,-12.279,1.0,0.0369,0.03,0.0105,0.716,0.751,128.147,audio_features,368760.0,4.0,Weird Science,Oingo Boingo,1985-09-07
03DQO1cC5RzTWRxJLzJCgy,0.477,0.464,7.0,-10.818,0.0,0.0272,0.567,0.0,0.487,0.689,77.917,audio_features,184635.0,4.0,I Love You For All Seasons,The Fuzz,1971-01-30
03DmfO0mdYu56ycyLWTe4P,0.527,0.527,9.0,-6.01,1.0,0.0299,0.635,0.0,0.0983,0.807,142.581,audio_features,147000.0,4.0,I'll Try Anything,Dusty Springfield,1967-03-25
03DrwKCR5YhSyQiAQUqzxK,0.678,0.795,5.0,-9.313,0.0,0.0822,0.00781,0.0,0.156,0.55,128.949,audio_features,242960.0,1.0,Get It Wet,Twista,1997-12-06
03GJyQfnhwq8f4NK5sOxO5,0.454,0.518,0.0,-8.396,0.0,0.0936,0.191,0.0,0.936,0.329,120.103,audio_features,384133.0,4.0,Summer Love,Justin Timberlake,2007-06-16
03IOfDZjjJNG8lDrpEB0ZS,0.617,0.806,2.0,-3.883,1.0,0.0395,0.616,6.14e-06,0.0939,0.774,119.835,audio_features,177773.0,4.0,Stoned Love,The Supremes,1970-12-26
03L2AoiRbWhvt7BDMx1jUB,0.44,0.421,6.0,-11.399,0.0,0.154,0.352,1.33e-05,0.136,0.116,87.629,audio_features,297373.0,4.0,U With Me?,Drake,2016-05-28
03MXO9B1815BBSebNVhLlG,0.623,0.612,0.0,-4.033,1.0,0.039,0.247,1.07e-06,0.776,0.666,72.498,audio_features,251640.0,4.0,Love King,The-Dream,2010-05-15
03N7Tzzxr7E4HJU3aptvnL,0.524,0.653,7.0,-8.017,1.0,0.088,0.271,3.58e-05,0.0954,0.613,139.17,audio_features,190293.0,3.0,If It's The Last Thing I Do,Thelma Houston,1977-06-11
03OArDwBMEgtTDcty84Rcp,0.396,0.444,2.0,-11.303,1.0,0.0302,0.696,1.23e-06,0.201,0.4,108.189,audio_features,184187.0,3.0,The Last Waltz,Engelbert Humperdinck,1967-10-21
03PvsaP7LHVT9CVKCq6Sdv,0.322,0.65,11.0,-8.324,0.0,0.0399,0.00244,0.000154,0.0428,0.479,132.864,audio_features,322267.0,4.0,Don't Ever Wanna Lose Ya,New England,1979-06-23
03SV49CTiBv7llc0s0FqhV,0.472,0.875,0.0,-3.404,1.0,0.0435,0.159,0.000696,0.378,0.801,114.228,audio_features,222601.0,4.0,The Hardest Part,Blondie,1980-02-16
03UrZgTINDqvnUMbbIMhql,0.736,0.939,11.0,-2.812,0.0,0.284,0.0055,0.0,0.0905,0.761,132.07,audio_features,219493.0,4.0,Gangnam Style,PSY,2012-09-29
03Usap4v3EWP7DsR7eT59e,0.594,0.501,0.0,-13.666,1.0,0.0277,0.482,0.0461,0.0967,0.752,124.187,audio_features,196600.0,4.0,Sweet Summer Lovin',Dolly Parton,1979-10-13
03VXrViYqJpdhuBEV0p0ak,0.485,0.38,3.0,-11.773,1.0,0.034,0.829,0.0,0.103,0.531,92.933,audio_features,149613.0,4.0,Homeward Bound,Simon & Garfunkel,1966-02-19
03WWKLmyguLY0cLbEuKOfN,0.817,0.628,1.0,-7.971,1.0,0.0453,0.502,0.48,0.0264,0.966,120.483,audio_features,248493.0,4.0,K-Jee,The Nite-Liters,1971-07-10
03Wma4AcL2NXi0HPqhKJ1v,0.631,0.503,7.0,-12.083,0.0,0.0766,0.551,0.0,0.137,0.699,90.205,audio_features,215387.0,4.0,Every Home Should Have One,Patti Austin,1981-12-19
03WsrEB8eyCeUfvRxGP5JX,0.688,0.719,11.0,-6.038,1.0,0.0582,0.0363,1.29e-06,0.297,0.653,97.75,audio_features,287867.0,4.0,"Down 4 Whateva (From ""A Low Down Dirty Shame"")",Nuttin' Nyce,1995-01-21
03ZVEpSeeJfROJW65OHgsf,0.312,0.7,0.0,-10.876,1.0,0.0613,0.43,1.22e-05,0.827,0.199,139.588,audio_features,221960.0,4.0,Twilight,Electric Light Orchestra,1981-10-31
